[02/10/2025 14:11:58] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:12:45] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:13:40] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:14:59] ✅ Grupo: Galete vendas caminhões SP | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:16:01] ✅ Grupo: VENDAS DE MÁQUINAS PRODUTOS & NEGÓCIOS MÁQUINAS | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:16:48] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:17:45] ✅ Grupo: Região Rondonópolis | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:18:40] ✅ Grupo: Caminhoes Implementos | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:19:30] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:20:38] ✅ Grupo: AGRO & NEGÓCIOS | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:21:43] ✅ Grupo: BRASIL CAMINHÕES & MÁQUINAS | ABRO.BR | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:22:57] ✅ Grupo: Sou Produtor Rural 2 | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:23:43] ✅ Grupo: Agropecuária e peti | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:24:52] ✅ Grupo: Vendas TLS | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:26:55] ✅ Grupo: SÓ REPASSE CAMINHÕES IMPL | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:27:55] ✅ Grupo: agricultura e terraplenag | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:29:13] ✅ Grupo: Rw Rosnaldo Caminhoes | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:29:59] ✅ Grupo: Ivan Máquinas 2 | Pasta: vanderleia2014 | Imagens: 4
[02/10/2025 14:30:54] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: vanderleia2014 | Imagens: 4
[03/10/2025 09:07:08] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:07:55] ✅ Grupo: Compra e vendas de makina | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:08:52] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:09:38] ✅ Grupo: Grupo OI X Edmar ES | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:10:34] ✅ Grupo: MF Caminhões e Carretas | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:11:28] ✅ Grupo: Galete vendas caminhões SP | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:12:41] ✅ Grupo: AGRO MOVE O BRASIL | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:13:53] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:14:36] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:16:11] ✅ Grupo: Brasil Repasse Caminhões | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:17:08] ✅ Grupo: Sou Produtor Rural 2 | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:18:19] ✅ Grupo: Vendas TLS | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:19:13] ✅ Grupo: Mato grosso rural | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:20:55] ✅ Grupo: SÓ REPASSE CAMINHÕES IMPL | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:21:45] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:22:29] ✅ Grupo: agricultura e terraplenag | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:23:31] ✅ Grupo: Marcelo Caminhões De Curitiba | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:24:12] ✅ Grupo: Rw Rosnaldo Caminhoes | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:24:51] ✅ Grupo: Ivan Máquinas 2 | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:25:35] ✅ Grupo: Diamantinoprodrural | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:26:17] ✅ Grupo: CORRETORES BILL GRUPO. | Pasta: caminhoes e carretas de transmaion | Imagens: 4
[03/10/2025 09:27:29] ✅ Grupo: 1 . RIO PRETO CARRETAS - Venda de Caminhões e Carretas | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:28:14] ✅ Grupo: CORRETORES - RIO PRETO CARRETAS - REG. SUL, SUDESTE E CENTROESTE | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:28:55] ✅ Grupo: Compra e vendas de makina | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:29:39] ✅ Grupo: Vendas de Caminhões e Carretas I | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:30:21] ✅ Grupo: Grupo OI X Edmar ES | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:32:10] ✅ Grupo: Caminhoes Implementos | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:32:51] ✅ Grupo: COMPRADORES PROCURAM ... | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:33:33] ✅ Grupo: M.CAMINHÔES VENDAS | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:34:52] ✅ Grupo: Brasil Repasse Caminhões | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:35:44] ✅ Grupo: Sou Produtor Rural 2 | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:36:56] ✅ Grupo: Vendas TLS | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:37:47] ✅ Grupo: Mato grosso rural | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:39:27] ✅ Grupo: SÓ REPASSE CAMINHÕES IMPL | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:40:14] ✅ Grupo: Consultoria, Compra, Vendas e Intermediações Caminhões, Máquinas Pesadas, Aeronaves, Fazendas etc | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:40:59] ✅ Grupo: agricultura e terraplenag | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
[03/10/2025 09:42:03] ✅ Grupo: Marcelo Caminhões De Curitiba | Pasta: caçambas 2014-2016 melhor preço | Imagens: 4
